hgnc_id	symbol	locus_group	entrez_id
HGNC:25063	DMKN	protein-coding gene	93099
HGNC:2932	DMP1	protein-coding gene	1758
HGNC:2933	DMPK	protein-coding gene	1760
HGNC:2934	DMRT1	protein-coding gene	1761
HGNC:2935	DMRT2	protein-coding gene	10655
HGNC:13909	DMRT3	protein-coding gene	58524
HGNC:13826	DMRTA1	protein-coding gene	63951
HGNC:13908	DMRTA2	protein-coding gene	63950
HGNC:13913	DMRTB1	protein-coding gene	63948
HGNC:13910	DMRTC1	protein-coding gene	63947
HGNC:31686	DMRTC1B	protein-coding gene	728656
HGNC:13911	DMRTC2	protein-coding gene	63946
HGNC:14603	DMTF1	protein-coding gene	9988
HGNC:3382	DMTN	protein-coding gene	2039
HGNC:2936	DMWD	protein-coding gene	1762
HGNC:2937	DMXL1	protein-coding gene	1657
HGNC:2938	DMXL2	protein-coding gene	23312
HGNC:2939	DNA2	protein-coding gene	1763
HGNC:30539	DNAAF1	protein-coding gene	123872
HGNC:20188	DNAAF2	protein-coding gene	55172
HGNC:30492	DNAAF3	protein-coding gene	352909
HGNC:55292	DNAAF3-AS1	non-coding RNA	101930593
HGNC:21493	DNAAF4	protein-coding gene	161582
HGNC:43019	DNAAF4-CCPG1	other	100533483
HGNC:26013	DNAAF5	protein-coding gene	54919
HGNC:28570	DNAAF6	protein-coding gene	139212
HGNC:2940	DNAH1	protein-coding gene	25981
HGNC:2948	DNAH2	protein-coding gene	146754
HGNC:2949	DNAH3	protein-coding gene	55567
HGNC:2950	DNAH5	protein-coding gene	1767
HGNC:2951	DNAH6	protein-coding gene	1768
HGNC:18661	DNAH7	protein-coding gene	56171
HGNC:2952	DNAH8	protein-coding gene	1769
HGNC:40188	DNAH8-AS1	non-coding RNA	100131047
HGNC:2953	DNAH9	protein-coding gene	1770
HGNC:2941	DNAH10	protein-coding gene	196385
HGNC:37121	DNAH10OS	protein-coding gene	642797
HGNC:2942	DNAH11	protein-coding gene	8701
HGNC:2943	DNAH12	protein-coding gene	201625
HGNC:2945	DNAH14	protein-coding gene	127602
HGNC:2946	DNAH17	protein-coding gene	8632
HGNC:48594	DNAH17-AS1	non-coding RNA	100996295
HGNC:2954	DNAI1	protein-coding gene	27019
HGNC:18744	DNAI2	protein-coding gene	64446
HGNC:30711	DNAI3	protein-coding gene	126820
HGNC:26252	DNAI4	protein-coding gene	79819
HGNC:5229	DNAJA1	protein-coding gene	3301
HGNC:39337	DNAJA1P1	pseudogene	100129308
HGNC:39338	DNAJA1P2	pseudogene	100131207
HGNC:39339	DNAJA1P3	pseudogene	644588
HGNC:39340	DNAJA1P4	pseudogene	728614
HGNC:39341	DNAJA1P5	pseudogene	94236
HGNC:39342	DNAJA1P6	pseudogene	100421542
HGNC:14884	DNAJA2	protein-coding gene	10294
HGNC:11808	DNAJA3	protein-coding gene	9093
HGNC:14885	DNAJA4	protein-coding gene	55466
HGNC:5270	DNAJB1	protein-coding gene	3337
HGNC:24988	DNAJB1P1	pseudogene	171221
HGNC:5228	DNAJB2	protein-coding gene	3300
HGNC:32397	DNAJB3	other	414061
HGNC:14886	DNAJB4	protein-coding gene	11080
HGNC:14887	DNAJB5	protein-coding gene	25822
HGNC:49846	DNAJB5-DT	non-coding RNA	101926900
HGNC:14888	DNAJB6	protein-coding gene	10049
HGNC:54754	DNAJB6P1	pseudogene	387820
HGNC:54755	DNAJB6P2	pseudogene	100289047
HGNC:54756	DNAJB6P3	pseudogene	101059990
HGNC:54757	DNAJB6P4	pseudogene	100130497
HGNC:54758	DNAJB6P5	pseudogene	100129779
HGNC:54759	DNAJB6P6	pseudogene	107985099
HGNC:54760	DNAJB6P7	pseudogene	100421437
HGNC:54761	DNAJB6P8	pseudogene	100421525
HGNC:24986	DNAJB7	protein-coding gene	150353
HGNC:23699	DNAJB8	protein-coding gene	165721
HGNC:41029	DNAJB8-AS1	non-coding RNA	285224
HGNC:6968	DNAJB9	protein-coding gene	4189
HGNC:14889	DNAJB11	protein-coding gene	51726
HGNC:14891	DNAJB12	protein-coding gene	54788
HGNC:54762	DNAJB12P1	pseudogene	100129140
HGNC:30718	DNAJB13	protein-coding gene	374407
HGNC:25881	DNAJB14	protein-coding gene	79982
HGNC:20090	DNAJC1	protein-coding gene	64215
HGNC:13192	DNAJC2	protein-coding gene	27000
HGNC:9439	DNAJC3	protein-coding gene	5611
HGNC:39808	DNAJC3-DT	non-coding RNA	100289274
HGNC:5271	DNAJC4	protein-coding gene	3338
HGNC:16235	DNAJC5	protein-coding gene	80331
