hgnc_id	symbol	locus_type
HGNC:7896	NPAT	gene with protein product
HGNC:30099	NPB	gene with protein product
HGNC:4522	NPBWR1	gene with protein product
HGNC:4530	NPBWR2	gene with protein product
HGNC:7897	NPC1	gene with protein product
HGNC:7898	NPC1L1	gene with protein product
HGNC:14537	NPC2	gene with protein product
HGNC:7899	NPDC1	gene with protein product
HGNC:16244	NPEPL1	gene with protein product
HGNC:7900	NPEPPS	gene with protein product
HGNC:44259	NPEPPSP1	pseudogene
HGNC:7901	NPFF	gene with protein product
HGNC:17425	NPFFR1	gene with protein product
HGNC:4525	NPFFR2	gene with protein product
HGNC:7905	NPHP1	gene with protein product
HGNC:7907	NPHP3	gene with protein product
HGNC:48351	NPHP3-ACAD11	readthrough
HGNC:24129	NPHP3-AS1	RNA, long non-coding
HGNC:19104	NPHP4	gene with protein product
HGNC:7908	NPHS1	gene with protein product
HGNC:13394	NPHS2	gene with protein product
HGNC:7909	NPIPA1	gene with protein product
HGNC:41979	NPIPA2	gene with protein product
HGNC:41978	NPIPA3	gene with protein product
HGNC:41980	NPIPA5	gene with protein product
HGNC:41982	NPIPA7	gene with protein product
HGNC:41983	NPIPA8	gene with protein product
HGNC:41984	NPIPA9	unknown
HGNC:37452	NPIPB1P	pseudogene
HGNC:37451	NPIPB2	gene with protein product
HGNC:28989	NPIPB3	gene with protein product
HGNC:41985	NPIPB4	gene with protein product
HGNC:37233	NPIPB5	gene with protein product
HGNC:37454	NPIPB6	gene with protein product
HGNC:33832	NPIPB7	unknown
HGNC:37490	NPIPB8	gene with protein product
HGNC:41987	NPIPB9	gene with protein product
HGNC:37455	NPIPB10P	pseudogene
HGNC:37453	NPIPB11	gene with protein product
HGNC:37491	NPIPB12	gene with protein product
HGNC:41989	NPIPB13	gene with protein product
HGNC:41990	NPIPB14P	pseudogene
HGNC:34409	NPIPB15	gene with protein product
HGNC:35407	NPIPP1	pseudogene
HGNC:16781	NPL	gene with protein product
HGNC:18261	NPLOC4	gene with protein product
HGNC:54747	NPLP1	pseudogene
HGNC:7910	NPM1	gene with protein product
HGNC:7911	NPM1P1	pseudogene
HGNC:7922	NPM1P2	pseudogene
HGNC:7923	NPM1P3	pseudogene
HGNC:7924	NPM1P4	pseudogene
HGNC:7925	NPM1P5	pseudogene
HGNC:7926	NPM1P6	pseudogene
HGNC:7927	NPM1P7	pseudogene
HGNC:7928	NPM1P8	pseudogene
HGNC:7929	NPM1P9	pseudogene
HGNC:7912	NPM1P10	pseudogene
HGNC:7913	NPM1P11	pseudogene
HGNC:7914	NPM1P12	pseudogene
HGNC:7915	NPM1P13	pseudogene
HGNC:7916	NPM1P14	pseudogene
HGNC:7919	NPM1P17	pseudogene
HGNC:7920	NPM1P18	pseudogene
HGNC:7921	NPM1P19	pseudogene
HGNC:20140	NPM1P20	pseudogene
HGNC:13855	NPM1P21	pseudogene
HGNC:39679	NPM1P22	pseudogene
HGNC:44513	NPM1P23	pseudogene
HGNC:45097	NPM1P24	pseudogene
HGNC:45204	NPM1P25	pseudogene
HGNC:45205	NPM1P26	pseudogene
HGNC:45206	NPM1P27	pseudogene
HGNC:45207	NPM1P28	pseudogene
HGNC:45208	NPM1P29	pseudogene
HGNC:45209	NPM1P30	pseudogene
HGNC:45210	NPM1P31	pseudogene
HGNC:45211	NPM1P32	pseudogene
HGNC:45212	NPM1P33	pseudogene
HGNC:45213	NPM1P34	pseudogene
HGNC:45214	NPM1P35	pseudogene
HGNC:45215	NPM1P36	pseudogene
HGNC:45216	NPM1P37	pseudogene
HGNC:45217	NPM1P38	pseudogene
HGNC:45218	NPM1P39	pseudogene
HGNC:45219	NPM1P40	pseudogene
HGNC:45220	NPM1P41	pseudogene
HGNC:45221	NPM1P42	pseudogene
HGNC:45222	NPM1P43	pseudogene
HGNC:45223	NPM1P44	pseudogene
HGNC:45224	NPM1P45	pseudogene
HGNC:45225	NPM1P46	pseudogene
HGNC:45226	NPM1P47	pseudogene
HGNC:45227	NPM1P48	pseudogene
HGNC:45228	NPM1P49	pseudogene
HGNC:45229	NPM1P50	pseudogene
HGNC:45230	NPM1P51	pseudogene
HGNC:45231	NPM1P52	pseudogene
HGNC:7930	NPM2	gene with protein product
HGNC:7931	NPM3	gene with protein product
HGNC:27405	NPNT	gene with protein product
HGNC:7939	NPPA	gene with protein product
HGNC:37635	NPPA-AS1	RNA, long non-coding
HGNC:7940	NPPB	gene with protein product
HGNC:7941	NPPC	gene with protein product
HGNC:7943	NPR 1.00	gene with protein product
HGNC:7944	NPR 2.00	gene with protein product
HGNC:7945	NPR 3.00	gene with protein product
HGNC:24969	NPRL2	gene with protein product
HGNC:14124	NPRL3	gene with protein product
HGNC:33940	NPS	gene with protein product
HGNC:23631	NPSR1	gene with protein product
HGNC:22128	NPSR1-AS1	RNA, long non-coding
HGNC:17867	NPTN	gene with protein product
HGNC:45091	NPTN-IT1	RNA, long non-coding
HGNC:7952	NPTX1	gene with protein product
HGNC:7953	NPTX2	gene with protein product
HGNC:7954	NPTXR	gene with protein product
HGNC:13782	NPVF	gene with protein product
HGNC:30509	NPW	gene with protein product
HGNC:7955	NPY	gene with protein product
HGNC:7956	NPY1R	gene with protein product
HGNC:7957	NPY2R	gene with protein product
HGNC:55549	NPY2R-AS1	RNA, long non-coding
HGNC:9329	NPY4R	gene with protein product
HGNC:52383	NPY4R2	gene with protein product
HGNC:7958	NPY5R	gene with protein product
HGNC:7959	NPY6R	pseudogene
HGNC:2874	NQO1	gene with protein product
HGNC:55344	NQO1-DT	RNA, long non-coding
HGNC:7856	NQO2	gene with protein product
HGNC:40407	NQO2-AS1	RNA, long non-coding
HGNC:7962	NR1D1	gene with protein product
HGNC:7963	NR1D2	gene with protein product
HGNC:7965	NR1H2	gene with protein product
HGNC:7966	NR1H3	gene with protein product
HGNC:7967	NR1H4	gene with protein product
HGNC:32673	NR1H5P	pseudogene
HGNC:7968	NR1I2	gene with protein product
HGNC:7969	NR1I3	gene with protein product
HGNC:7970	NR1I4	unknown
HGNC:7971	NR2C1	gene with protein product
HGNC:7972	NR2C2	gene with protein product
HGNC:30763	NR2C2AP	gene with protein product
HGNC:7973	NR2E1	gene with protein product
HGNC:7974	NR2E3	gene with protein product
HGNC:7975	NR2F1	gene with protein product
HGNC:48622	NR2F1-AS1	RNA, long non-coding
HGNC:7976	NR2F2	gene with protein product
HGNC:44222	NR2F2-AS1	RNA, long non-coding
HGNC:7977	NR2F6	gene with protein product
HGNC:7978	NR3C1	gene with protein product
HGNC:4592	NR3C1P1	pseudogene
HGNC:7979	NR3C2	gene with protein product
HGNC:7980	NR4A1	gene with protein product
HGNC:54409	NR4A1AS	RNA, long non-coding
HGNC:7981	NR4A2	gene with protein product
HGNC:7982	NR4A3	gene with protein product
HGNC:7983	NR5A1	gene with protein product
HGNC:7984	NR5A2	gene with protein product
HGNC:7985	NR6A1	gene with protein product
HGNC:26981	NRAD1	RNA, long non-coding
HGNC:19337	NRADDP	pseudogene
HGNC:7988	NRAP	gene with protein product
HGNC:33843	NRARP	gene with protein product
HGNC:7989	NRAS	gene with protein product
HGNC:48588	NRAV	RNA, long non-coding
HGNC:7960	NR0B1	gene with protein product
HGNC:7961	NR0B2	gene with protein product
HGNC:19692	NRBF2	gene with protein product
HGNC:44604	NRBF2P1	pseudogene
HGNC:44605	NRBF2P2	pseudogene
HGNC:44606	NRBF2P3	pseudogene
HGNC:44607	NRBF2P4	pseudogene
HGNC:44683	NRBF2P5	pseudogene
HGNC:54797	NRBF2P6	pseudogene
HGNC:7993	NRBP1	gene with protein product
HGNC:19339	NRBP2	gene with protein product
HGNC:7994	NRCAM	gene with protein product
HGNC:7995	NRDC	gene with protein product
HGNC:20186	NRDE2	gene with protein product
HGNC:16834	NREP	gene with protein product
HGNC:40780	NREP-AS1	RNA, long non-coding
HGNC:7996	NRF1	gene with protein product
HGNC:7997	NRG1	gene with protein product
HGNC:43633	NRG1-IT1	RNA, long non-coding
HGNC:43635	NRG1-IT3	RNA, long non-coding
HGNC:7998	NRG2	gene with protein product
HGNC:7999	NRG3	gene with protein product
HGNC:31429	NRG3-AS1	RNA, long non-coding
HGNC:29862	NRG4	gene with protein product
HGNC:8000	NRGN	gene with protein product
HGNC:8001	NRIP1	gene with protein product
HGNC:23078	NRIP2	gene with protein product
HGNC:1167	NRIP3	gene with protein product
HGNC:55524	NRIP3-DT	RNA, long non-coding
HGNC:51269	NRIR	RNA, long non-coding
HGNC:25391	NRK	gene with protein product
HGNC:8002	NRL	gene with protein product
HGNC:8003	NRM	gene with protein product
HGNC:17972	NRN1	gene with protein product
HGNC:29811	NRN1L	gene with protein product
HGNC:37079	NRON	RNA, long non-coding
HGNC:8004	NRP1	gene with protein product
HGNC:8005	NRP2	gene with protein product
HGNC:24613	NRROS	gene with protein product
HGNC:17881	NRSN1	gene with protein product
HGNC:16229	NRSN2	gene with protein product
HGNC:51222	NRSN2-AS1	RNA, long non-coding
HGNC:8007	NRTN	gene with protein product
HGNC:8008	NRXN1	gene with protein product
HGNC:8009	NRXN2	gene with protein product
HGNC:40416	NRXN2-AS1	RNA, long non-coding
HGNC:8010	NRXN3	gene with protein product
HGNC:30728	NSA2	gene with protein product
HGNC:54580	NSA2P1	pseudogene
HGNC:54581	NSA2P2	pseudogene
HGNC:54582	NSA2P3	pseudogene
HGNC:54583	NSA2P4	pseudogene
HGNC:54584	NSA2P5	pseudogene
HGNC:54587	NSA2P6	pseudogene
HGNC:54588	NSA2P7	pseudogene
HGNC:14234	NSD1	gene with protein product
HGNC:12766	NSD2	gene with protein product
HGNC:12767	NSD3	gene with protein product
HGNC:13398	NSDHL	gene with protein product
HGNC:8016	NSF	gene with protein product
HGNC:15912	NSFL1C	gene with protein product
HGNC:31405	NSFP1	pseudogene
HGNC:18790	NSG1	gene with protein product
HGNC:24955	NSG2	gene with protein product
HGNC:24548	NSL1	gene with protein product
HGNC:8017	NSMAF	gene with protein product
HGNC:29897	NSMCE1	gene with protein product
HGNC:51368	NSMCE1-DT	RNA, long non-coding
HGNC:26513	NSMCE2	gene with protein product
HGNC:7677	NSMCE3	gene with protein product
HGNC:25935	NSMCE4A	gene with protein product
HGNC:29843	NSMF	gene with protein product
HGNC:25305	NSRP1	gene with protein product
HGNC:38087	NSRP1P1	pseudogene
HGNC:25994	NSUN2	gene with protein product
HGNC:26208	NSUN3	gene with protein product
HGNC:31802	NSUN4	gene with protein product
HGNC:16385	NSUN5	gene with protein product
HGNC:19146	NSUN5P1	pseudogene
HGNC:16609	NSUN5P2	pseudogene
HGNC:23529	NSUN6	gene with protein product
HGNC:25857	NSUN7	gene with protein product
HGNC:17144	NT5C	gene with protein product
HGNC:17819	NT5C1A	gene with protein product
HGNC:17818	NT5C1B	gene with protein product
HGNC:38831	NT5C1B-RDH14	readthrough
HGNC:8022	NT5C2	gene with protein product
HGNC:17820	NT5C3A	gene with protein product
HGNC:18530	NT5C3AP1	pseudogene
HGNC:54578	NT5C3AP2	pseudogene
HGNC:28300	NT5C3B	gene with protein product
HGNC:20046	NT5CP1	pseudogene
HGNC:20047	NT5CP2	pseudogene
HGNC:39789	NT5CP3	pseudogene
HGNC:21556	NT5DC1	gene with protein product
HGNC:55018	NT5DC1P1	pseudogene
HGNC:55019	NT5DC1P2	pseudogene
HGNC:25717	NT5DC2	gene with protein product
HGNC:30826	NT5DC3	gene with protein product
HGNC:27678	NT5DC4	gene with protein product
HGNC:8021	NT5E	gene with protein product
HGNC:55194	NT5ELP	pseudogene
HGNC:15769	NT5M	gene with protein product
HGNC:29909	NTAN1	gene with protein product
HGNC:45261	NTAN1P1	pseudogene
HGNC:45262	NTAN1P2	pseudogene
HGNC:45263	NTAN1P3	pseudogene
HGNC:25490	NTAQ1	gene with protein product
HGNC:8023	NTF3	gene with protein product
HGNC:8024	NTF4	gene with protein product
HGNC:8025	NTF6A	pseudogene
HGNC:8026	NTF6B	pseudogene
HGNC:8027	NTF6G	pseudogene
HGNC:8028	NTHL1	gene with protein product
HGNC:17941	NTM	gene with protein product
HGNC:32293	NTM-AS1	RNA, long non-coding
HGNC:41437	NTM-IT	RNA, long non-coding
HGNC:23373	NTMT1	gene with protein product
HGNC:31932	NTMT2	gene with protein product
HGNC:8029	NTN1	gene with protein product
HGNC:8030	NTN3	gene with protein product
HGNC:13658	NTN4	gene with protein product
HGNC:25208	NTN5	gene with protein product
HGNC:23319	NTNG1	gene with protein product
HGNC:14288	NTNG2	gene with protein product
HGNC:28204	NTPCR	gene with protein product
HGNC:8031	NTRK1	gene with protein product
HGNC:8032	NTRK2	gene with protein product
HGNC:8033	NTRK3	gene with protein product
HGNC:27532	NTRK3-AS1	RNA, long non-coding
HGNC:8038	NTS	gene with protein product
HGNC:8039	NTSR1	gene with protein product
HGNC:8040	NTSR2	gene with protein product
HGNC:14311	NUAK1	gene with protein product
HGNC:29558	NUAK2	gene with protein product
HGNC:17623	NUB1	gene with protein product
HGNC:8041	NUBP1	gene with protein product
HGNC:8042	NUBP2	gene with protein product
HGNC:20278	NUBPL	gene with protein product
HGNC:55483	NUBPL-DT	RNA, long non-coding
HGNC:8043	NUCB1	gene with protein product
HGNC:40419	NUCB1-AS1	RNA, long non-coding
HGNC:8044	NUCB2	gene with protein product
HGNC:29923	NUCKS1	gene with protein product
HGNC:51943	NUCKS1P1	pseudogene
HGNC:8045	NUDC	gene with protein product
HGNC:24306	NUDCD1	gene with protein product
HGNC:30535	NUDCD2	gene with protein product
HGNC:22208	NUDCD3	gene with protein product
HGNC:8046	NUDCP1	pseudogene
HGNC:8047	NUDCP2	pseudogene
HGNC:8048	NUDT1	gene with protein product
HGNC:8049	NUDT2	gene with protein product
HGNC:8050	NUDT3	gene with protein product
HGNC:8051	NUDT4	gene with protein product
HGNC:18012	NUDT4B	gene with protein product
HGNC:18013	NUDT4P2	pseudogene
HGNC:8052	NUDT5	gene with protein product
HGNC:8053	NUDT6	gene with protein product
HGNC:8054	NUDT7	gene with protein product
HGNC:8055	NUDT8	gene with protein product
HGNC:8056	NUDT9	gene with protein product
HGNC:28523	NUDT9P1	pseudogene
HGNC:17621	NUDT10	gene with protein product
HGNC:18011	NUDT11	gene with protein product
HGNC:18826	NUDT12	gene with protein product
HGNC:18827	NUDT13	gene with protein product
HGNC:20141	NUDT14	gene with protein product
HGNC:23063	NUDT15	gene with protein product
HGNC:17266	NUDT15P1	pseudogene
HGNC:20784	NUDT15P2	pseudogene
HGNC:26442	NUDT16	gene with protein product
HGNC:27947	NUDT16-DT	RNA, long non-coding
HGNC:28154	NUDT16L1	gene with protein product
HGNC:27189	NUDT16L2P	pseudogene
HGNC:26618	NUDT17	gene with protein product
HGNC:26194	NUDT18	gene with protein product
HGNC:32036	NUDT19	gene with protein product
HGNC:55296	NUDT19-DT	RNA, long non-coding
HGNC:43585	NUDT19P1	pseudogene
HGNC:43586	NUDT19P2	pseudogene
HGNC:43587	NUDT19P3	pseudogene
HGNC:43588	NUDT19P4	pseudogene
HGNC:43589	NUDT19P5	pseudogene
HGNC:55061	NUDT19P6	pseudogene
HGNC:13870	NUDT21	gene with protein product
HGNC:39461	NUDT21P1	pseudogene
HGNC:28189	NUDT22	gene with protein product
HGNC:14621	NUF2	gene with protein product
HGNC:8057	NUFIP1	gene with protein product
HGNC:8058	NUFIP1P1	pseudogene
HGNC:17634	NUFIP2	gene with protein product
HGNC:33550	NUGGC	gene with protein product
HGNC:8059	NUMA1	gene with protein product
HGNC:8060	NUMB	gene with protein product
HGNC:8061	NUMBL	gene with protein product
HGNC:29797	NUP35	gene with protein product
HGNC:52370	NUP35P1	pseudogene
HGNC:52371	NUP35P2	pseudogene
HGNC:29929	NUP37	gene with protein product
HGNC:17010	NUP42	gene with protein product
HGNC:21182	NUP43	gene with protein product
HGNC:8065	NUP50	gene with protein product
HGNC:50502	NUP50-DT	RNA, long non-coding
HGNC:20025	NUP50P1	pseudogene
HGNC:29928	NUP50P2	pseudogene
HGNC:29927	NUP50P3	pseudogene
HGNC:17359	NUP54	gene with protein product
HGNC:20261	NUP58	gene with protein product
HGNC:44052	NUP58P1	pseudogene
HGNC:8066	NUP62	gene with protein product
HGNC:25960	NUP62CL	gene with protein product
HGNC:8734	NUP85	gene with protein product
HGNC:8067	NUP88	gene with protein product
HGNC:28958	NUP93	gene with protein product
HGNC:55370	NUP93-DT	RNA, long non-coding
HGNC:8068	NUP98	gene with protein product
HGNC:29914	NUP107	gene with protein product
HGNC:55587	NUP107-DT	RNA, long non-coding
HGNC:18016	NUP133	gene with protein product
HGNC:55870	NUP133-DT	RNA, long non-coding
HGNC:8062	NUP153	gene with protein product
HGNC:55217	NUP153-AS1	RNA, long non-coding
HGNC:8063	NUP155	gene with protein product
HGNC:18017	NUP160	gene with protein product
HGNC:17859	NUP188	gene with protein product
HGNC:18658	NUP205	gene with protein product
HGNC:30052	NUP210	gene with protein product
HGNC:29915	NUP210L	gene with protein product
HGNC:27399	NUP210P1	pseudogene
HGNC:42707	NUP210P2	pseudogene
HGNC:42712	NUP210P3	pseudogene
HGNC:8064	NUP214	gene with protein product
HGNC:29990	NUPR1	gene with protein product
HGNC:44164	NUPR2	gene with protein product
HGNC:21042	NUS1	gene with protein product
HGNC:38472	NUS1P1	pseudogene
HGNC:38473	NUS1P2	pseudogene
HGNC:30934	NUS1P3	pseudogene
HGNC:38474	NUS1P4	pseudogene
HGNC:18538	NUSAP1	gene with protein product
HGNC:13722	NUTF2	gene with protein product
HGNC:19934	NUTF2P2	pseudogene
HGNC:50452	NUTF2P3	pseudogene
HGNC:50453	NUTF2P4	pseudogene
HGNC:50454	NUTF2P5	pseudogene
HGNC:50455	NUTF2P6	pseudogene
HGNC:50458	NUTF2P7	pseudogene
HGNC:50457	NUTF2P8	pseudogene
HGNC:29919	NUTM1	gene with protein product
HGNC:23438	NUTM2A	gene with protein product
HGNC:45161	NUTM2A-AS1	RNA, long non-coding
HGNC:23445	NUTM2B	gene with protein product
HGNC:51204	NUTM2B-AS1	RNA, long non-coding
HGNC:23447	NUTM2D	gene with protein product
HGNC:23448	NUTM2E	gene with protein product
HGNC:23450	NUTM2F	gene with protein product
HGNC:23449	NUTM2G	gene with protein product
HGNC:45017	NUTM2HP	pseudogene
HGNC:8070	NVL	gene with protein product
HGNC:27619	NWD1	gene with protein product
HGNC:29229	NWD2	gene with protein product
HGNC:8071	NXF1	gene with protein product
HGNC:8072	NXF2	gene with protein product
HGNC:23984	NXF2B	gene with protein product
HGNC:8073	NXF3	gene with protein product
HGNC:8074	NXF4	pseudogene
HGNC:8075	NXF5	gene with protein product
HGNC:18008	NXN	gene with protein product
HGNC:25179	NXNL1	gene with protein product
HGNC:30482	NXNL2	gene with protein product
HGNC:50561	NXNP1	pseudogene
HGNC:28527	NXPE1	gene with protein product
HGNC:26331	NXPE2	gene with protein product
HGNC:44082	NXPE2P1	pseudogene
HGNC:28238	NXPE3	gene with protein product
HGNC:23117	NXPE4	gene with protein product
HGNC:20693	NXPH1	gene with protein product
HGNC:8076	NXPH2	gene with protein product
HGNC:8077	NXPH3	gene with protein product
HGNC:8078	NXPH4	gene with protein product
HGNC:15913	NXT1	gene with protein product
HGNC:40734	NXT1-AS1	RNA, long non-coding
HGNC:39708	NXT1P1	pseudogene
HGNC:18151	NXT2	gene with protein product
HGNC:22009	NYAP1	gene with protein product
HGNC:29291	NYAP2	gene with protein product
HGNC:20165	NYNRIN	gene with protein product
HGNC:8082	NYX	gene with protein product
HGNC:44362	OACYLP	pseudogene
HGNC:28752	OAF	gene with protein product
HGNC:21257	OARD1	gene with protein product
HGNC:8086	OAS1	gene with protein product
HGNC:8087	OAS2	gene with protein product
HGNC:8088	OAS3	gene with protein product
HGNC:8090	OASL	gene with protein product
HGNC:53738	OASL2P	pseudogene
HGNC:8091	OAT	gene with protein product
HGNC:8094	OATP1	pseudogene
HGNC:8095	OAZ1	gene with protein product
HGNC:54556	OAZ1P1	pseudogene
HGNC:8096	OAZ2	gene with protein product
HGNC:8097	OAZ3	gene with protein product
HGNC:20308	OBI1	gene with protein product
HGNC:42700	OBI1-AS1	RNA, long non-coding
HGNC:23380	OBP2A	gene with protein product
HGNC:23381	OBP2B	gene with protein product
HGNC:15719	OBSCN	gene with protein product
HGNC:32047	OBSCN-AS1	RNA, long non-coding
HGNC:29092	OBSL1	gene with protein product
HGNC:8100	OC90	gene with protein product
HGNC:8101	OCA2	gene with protein product
HGNC:26221	OCEL1	gene with protein product
HGNC:16074	OCIAD1	gene with protein product
HGNC:40751	OCIAD1-AS1	RNA, long non-coding
HGNC:28685	OCIAD2	gene with protein product
HGNC:31827	OCIAD2P1	pseudogene
HGNC:8104	OCLN	gene with protein product
HGNC:53916	OCLNP1	pseudogene
HGNC:8105	OCM	gene with protein product
HGNC:34396	OCM2	gene with protein product
HGNC:8108	OCRL	gene with protein product
HGNC:16116	OCSTAMP	gene with protein product
HGNC:26560	ODAD1	gene with protein product
HGNC:25583	ODAD2	gene with protein product
HGNC:44937	ODAD2P1	pseudogene
HGNC:28303	ODAD3	gene with protein product
HGNC:25280	ODAD4	gene with protein product
HGNC:26043	ODAM	gene with protein product
HGNC:26300	ODAPH	gene with protein product
HGNC:8109	ODC1	gene with protein product
HGNC:54070	ODC1-DT	RNA, long non-coding
HGNC:8110	ODCP	pseudogene
HGNC:8113	ODF1	gene with protein product
HGNC:8114	ODF2	gene with protein product
HGNC:49461	ODF2-AS1	RNA, long non-coding
HGNC:29225	ODF2L	gene with protein product
HGNC:19905	ODF3	gene with protein product
HGNC:34388	ODF3B	gene with protein product
HGNC:28735	ODF3L1	gene with protein product
HGNC:26841	ODF3L2	gene with protein product
HGNC:19056	ODF4	gene with protein product
HGNC:24299	ODR4	gene with protein product
HGNC:21017	OFCC1	unknown
HGNC:2567	OFD1	gene with protein product
HGNC:23873	OFD1P1Y	pseudogene
HGNC:23874	OFD1P2Y	pseudogene
HGNC:23875	OFD1P3Y	pseudogene
HGNC:23876	OFD1P4Y	pseudogene
HGNC:23877	OFD1P5Y	pseudogene
HGNC:13657	OFD1P6Y	pseudogene
HGNC:23879	OFD1P7Y	pseudogene
HGNC:23880	OFD1P8Y	pseudogene
HGNC:23881	OFD1P9Y	pseudogene
HGNC:23882	OFD1P10Y	pseudogene
HGNC:23883	OFD1P11Y	pseudogene
HGNC:23884	OFD1P12Y	pseudogene
HGNC:23885	OFD1P13Y	pseudogene
HGNC:23886	OFD1P14Y	pseudogene
HGNC:23887	OFD1P15Y	pseudogene
HGNC:18213	OFD1P16Y	pseudogene
HGNC:1332	OFD1P17	pseudogene
HGNC:2589	OFD1P18Y	pseudogene
HGNC:7056	OGA	gene with protein product
HGNC:8124	OGDH	gene with protein product
HGNC:25590	OGDHL	gene with protein product
HGNC:25585	OGFOD1	gene with protein product
HGNC:39202	OGFOD1P1	pseudogene
HGNC:25823	OGFOD2	gene with protein product
HGNC:26174	OGFOD3	gene with protein product
HGNC:15768	OGFR	gene with protein product
HGNC:40724	OGFR-AS1	RNA, long non-coding
HGNC:21378	OGFRL1	gene with protein product
HGNC:50511	OGFRP1	pseudogene
HGNC:8125	OGG1	gene with protein product
HGNC:8126	OGN	gene with protein product
HGNC:8127	OGT	gene with protein product
HGNC:20300	OIP5	gene with protein product
HGNC:43563	OIP5-AS1	RNA, long non-coding
HGNC:29953	OIT3	gene with protein product
HGNC:28833	OLA1	gene with protein product
HGNC:45274	OLA1P1	pseudogene
HGNC:45277	OLA1P2	pseudogene
HGNC:45278	OLA1P3	pseudogene
HGNC:25625	OLAH	gene with protein product
HGNC:17187	OLFM1	gene with protein product
HGNC:17189	OLFM2	gene with protein product
HGNC:17990	OLFM3	gene with protein product
HGNC:17190	OLFM4	gene with protein product
HGNC:51927	OLFM5P	pseudogene
HGNC:24473	OLFML1	gene with protein product
HGNC:27270	OLFML2A	gene with protein product
HGNC:24558	OLFML2B	gene with protein product
HGNC:24956	OLFML3	gene with protein product
HGNC:16983	OLIG1	gene with protein product
HGNC:9398	OLIG2	gene with protein product
HGNC:18003	OLIG3	gene with protein product
HGNC:28060	OLMALINC	RNA, long non-coding
HGNC:8133	OLR1	gene with protein product
HGNC:29661	OMA1	gene with protein product
HGNC:8134	OMD	gene with protein product
HGNC:8135	OMG	gene with protein product
HGNC:8136	OMP	gene with protein product
HGNC:8138	ONECUT1	gene with protein product
HGNC:8139	ONECUT2	gene with protein product
HGNC:13399	ONECUT3	gene with protein product
HGNC:21382	OOEP	gene with protein product
HGNC:39192	OOEP-AS1	RNA, long non-coding
HGNC:54933	OOEPP1	pseudogene
HGNC:54934	OOEPP2	pseudogene
HGNC:49233	OOSP1	gene with protein product
HGNC:49240	OOSP1P1	pseudogene
HGNC:49241	OOSP1P2	pseudogene
HGNC:26699	OOSP2	gene with protein product
HGNC:53903	OOSP3	gene with protein product
HGNC:53904	OOSP4A	gene with protein product
HGNC:53905	OOSP4B	gene with protein product
HGNC:8140	OPA1	gene with protein product
HGNC:40421	OPA1-AS1	RNA, long non-coding
HGNC:8142	OPA3	gene with protein product
HGNC:20707	OPALIN	gene with protein product
HGNC:8143	OPCML	gene with protein product
HGNC:41366	OPCML-IT1	RNA, long non-coding
HGNC:41365	OPCML-IT2	RNA, long non-coding
HGNC:8148	OPHN1	gene with protein product
HGNC:8149	OPLAH	gene with protein product
HGNC:9936	OPN1LW	gene with protein product
HGNC:4206	OPN1MW	gene with protein product
HGNC:26952	OPN1MW2	gene with protein product
HGNC:51831	OPN1MW3	gene with protein product
HGNC:1012	OPN1SW	gene with protein product
HGNC:14007	OPN3	gene with protein product
HGNC:14449	OPN4	gene with protein product
HGNC:19992	OPN5	gene with protein product
HGNC:8153	OPRD1	gene with protein product
HGNC:8154	OPRK1	gene with protein product
HGNC:8155	OPRL1	gene with protein product
HGNC:8156	OPRM1	gene with protein product
HGNC:17279	OPRPN	gene with protein product
HGNC:8158	OPTC	gene with protein product
HGNC:17142	OPTN	gene with protein product
HGNC:8179	OR1A1	gene with protein product
HGNC:8180	OR1A2	gene with protein product
HGNC:14750	OR1AA1P	pseudogene
HGNC:15390	OR1AB1P	pseudogene
HGNC:31243	OR1AC1P	pseudogene
HGNC:8181	OR1B1	gene with protein product
HGNC:8182	OR1C1	gene with protein product
HGNC:8183	OR1D2	gene with protein product
HGNC:8184	OR1D3P	pseudogene
HGNC:8185	OR1D4	gene with protein product
HGNC:8186	OR1D5	gene with protein product
HGNC:8189	OR1E1	gene with protein product
HGNC:8190	OR1E2	gene with protein product
HGNC:8191	OR1E3	gene with protein product
HGNC:8194	OR1F1	gene with protein product
HGNC:8196	OR1F2P	pseudogene
HGNC:13964	OR1F12P	pseudogene
HGNC:8204	OR1G1	gene with protein product
HGNC:8206	OR1H1P	pseudogene
HGNC:8207	OR1I1	gene with protein product
HGNC:8208	OR1J1	gene with protein product
HGNC:8209	OR1J2	gene with protein product
HGNC:8211	OR1J4	gene with protein product
HGNC:8212	OR1K1	gene with protein product
HGNC:8213	OR1L1	gene with protein product
HGNC:8215	OR1L3	gene with protein product
HGNC:8216	OR1L4	gene with protein product
HGNC:8218	OR1L6	gene with protein product
HGNC:15110	OR1L8	gene with protein product
HGNC:8220	OR1M1	gene with protein product
HGNC:31244	OR1M4P	pseudogene
HGNC:8221	OR1N1	gene with protein product
HGNC:15111	OR1N2	gene with protein product
HGNC:8222	OR1P1	gene with protein product
HGNC:8223	OR1Q1	gene with protein product
HGNC:55113	OR1Q1BP	pseudogene
HGNC:8226	OR1R1P	pseudogene
HGNC:8227	OR1S1	gene with protein product
HGNC:15141	OR1S2	gene with protein product
HGNC:15062	OR1X1P	pseudogene
HGNC:31245	OR1X5P	pseudogene
HGNC:8229	OR2A1	gene with protein product
HGNC:49168	OR2A1-AS1	RNA, long non-coding
