hgnc_id	symbol	locus_group	locus_type	entrez_id
HGNC:44638	PTPRG-AS1	non-coding RNA	RNA, long non-coding	100506994
HGNC:9672	PTPRH	protein-coding gene	gene with protein product	5794
HGNC:9673	PTPRJ	protein-coding gene	gene with protein product	5795
HGNC:50634	PTPRJ-AS1	non-coding RNA	RNA, long non-coding	104326192
HGNC:9674	PTPRK	protein-coding gene	gene with protein product	5796
HGNC:40484	PTPRK-AS1	non-coding RNA	RNA, long non-coding	101928140
HGNC:9675	PTPRM	protein-coding gene	gene with protein product	5797
HGNC:9676	PTPRN	protein-coding gene	gene with protein product	5798
HGNC:9677	PTPRN2	protein-coding gene	gene with protein product	5799
HGNC:40488	PTPRN2-AS1	non-coding RNA	RNA, long non-coding	100506585
HGNC:9678	PTPRO	protein-coding gene	gene with protein product	5800
HGNC:9679	PTPRQ	protein-coding gene	gene with protein product	374462
HGNC:9680	PTPRR	protein-coding gene	gene with protein product	5801
HGNC:9681	PTPRS	protein-coding gene	gene with protein product	5802
HGNC:9682	PTPRT	protein-coding gene	gene with protein product	11122
HGNC:40491	PTPRT-AS1	non-coding RNA	RNA, long non-coding	101927138
HGNC:9683	PTPRU	protein-coding gene	gene with protein product	10076
HGNC:13421	PTPRVP	pseudogene	pseudogene	148713
HGNC:9685	PTPRZ1	protein-coding gene	gene with protein product	5803
HGNC:9686	PTPRZ2	other	unknown	5804
HGNC:27039	PTRH1	protein-coding gene	gene with protein product	138428
HGNC:24265	PTRH2	protein-coding gene	gene with protein product	51651
HGNC:33782	PTRHD1	protein-coding gene	gene with protein product	391356
HGNC:9689	PTS	protein-coding gene	gene with protein product	5805
HGNC:9690	PTTG1	protein-coding gene	gene with protein product	9232
HGNC:13524	PTTG1IP	protein-coding gene	gene with protein product	754
HGNC:55318	PTTG1IP2	protein-coding gene	gene with protein product	102723899
HGNC:9691	PTTG2	protein-coding gene	gene with protein product	10744
HGNC:13422	PTTG3P	pseudogene	pseudogene	26255
HGNC:20055	PTTG4P	pseudogene	pseudogene	326315
HGNC:9692	PTX3	protein-coding gene	gene with protein product	5806
HGNC:14171	PTX4	protein-coding gene	gene with protein product	390667
HGNC:16818	PUDP	protein-coding gene	gene with protein product	8226
HGNC:20200	PUDPP1	pseudogene	pseudogene	327658
HGNC:20195	PUDPP2	pseudogene	pseudogene	327659
HGNC:38118	PUDPP3	pseudogene	pseudogene	391242
HGNC:17042	PUF60	protein-coding gene	gene with protein product	22827
HGNC:14957	PUM1	protein-coding gene	gene with protein product	9698
HGNC:14958	PUM2	protein-coding gene	gene with protein product	23369
HGNC:29676	PUM3	protein-coding gene	gene with protein product	9933
HGNC:9701	PURA	protein-coding gene	gene with protein product	5813
HGNC:9702	PURB	protein-coding gene	gene with protein product	5814
HGNC:17930	PURG	protein-coding gene	gene with protein product	29942
HGNC:48995	PURPL	non-coding RNA	RNA, long non-coding	643401
HGNC:15508	PUS1	protein-coding gene	gene with protein product	80324
HGNC:25461	PUS3	protein-coding gene	gene with protein product	83480
HGNC:26033	PUS7	protein-coding gene	gene with protein product	54517
HGNC:25276	PUS7L	protein-coding gene	gene with protein product	83448
HGNC:49779	PUS7P1	pseudogene	pseudogene	100421790
HGNC:26505	PUS10	protein-coding gene	gene with protein product	150962
HGNC:26914	PUSL1	protein-coding gene	gene with protein product	126789
HGNC:9704	PVALB	protein-coding gene	gene with protein product	5816
HGNC:40053	PVALEF	protein-coding gene	gene with protein product	388428
HGNC:9705	PVR	protein-coding gene	gene with protein product	5817
HGNC:32190	PVRIG	protein-coding gene	gene with protein product	79037
HGNC:48897	PVRIG2P	pseudogene	pseudogene	101752334
HGNC:9709	PVT1	non-coding RNA	RNA, long non-coding	5820
HGNC:30089	PWAR1	non-coding RNA	RNA, long non-coding	145624
HGNC:29998	PWAR4	non-coding RNA	RNA, long non-coding	347745
HGNC:30090	PWAR5	non-coding RNA	RNA, long non-coding	8123
HGNC:49129	PWAR6	non-coding RNA	RNA, long non-coding	100506965
HGNC:30001	PWARSN	non-coding RNA	RNA, long non-coding	347746
HGNC:17015	PWP1	protein-coding gene	gene with protein product	11137
HGNC:9711	PWP2	protein-coding gene	gene with protein product	5822
HGNC:33235	PWRN1	non-coding RNA	RNA, long non-coding	791114
HGNC:33236	PWRN2	non-coding RNA	RNA, long non-coding	791115
HGNC:49131	PWRN3	non-coding RNA	RNA, long non-coding	101928840
HGNC:49130	PWRN4	non-coding RNA	RNA, long non-coding	105370731
HGNC:29406	PWWP2A	protein-coding gene	gene with protein product	114825
HGNC:39709	PWWP2AP1	pseudogene	pseudogene	100129459
HGNC:25150	PWWP2B	protein-coding gene	gene with protein product	170394
HGNC:29641	PWWP3A	protein-coding gene	gene with protein product	84939
HGNC:26583	PWWP3B	protein-coding gene	gene with protein product	139221
HGNC:55197	PWWP4	other	unknown	728317
HGNC:21361	PXDC1	protein-coding gene	gene with protein product	221749
HGNC:14966	PXDN	protein-coding gene	gene with protein product	7837
HGNC:26359	PXDNL	protein-coding gene	gene with protein product	137902
HGNC:23326	PXK	protein-coding gene	gene with protein product	54899
HGNC:9716	PXMP2	protein-coding gene	gene with protein product	5827
HGNC:15920	PXMP4	protein-coding gene	gene with protein product	11264
HGNC:9718	PXN	protein-coding gene	gene with protein product	5829
HGNC:44123	PXN-AS1	non-coding RNA	RNA, long non-coding	100506649
HGNC:18312	PXT1	protein-coding gene	gene with protein product	222659
HGNC:26303	PXYLP1	protein-coding gene	gene with protein product	92370
HGNC:16608	PYCARD	protein-coding gene	gene with protein product	29108
HGNC:45036	PYCARD-AS1	non-coding RNA	RNA, long non-coding	100652740
HGNC:9721	PYCR1	protein-coding gene	gene with protein product	5831
HGNC:30262	PYCR2	protein-coding gene	gene with protein product	29920
HGNC:25846	PYCR3	protein-coding gene	gene with protein product	65263
HGNC:30261	PYDC1	protein-coding gene	gene with protein product	260434
HGNC:33512	PYDC2	protein-coding gene	gene with protein product	152138
HGNC:53781	PYDC5	protein-coding gene	gene with protein product	107181291
HGNC:9723	PYGB	protein-coding gene	gene with protein product	5834
HGNC:9725	PYGL	protein-coding gene	gene with protein product	5836
HGNC:9726	PYGM	protein-coding gene	gene with protein product	5837
HGNC:30256	PYGO1	protein-coding gene	gene with protein product	26108
HGNC:30257	PYGO2	protein-coding gene	gene with protein product	90780
HGNC:28894	PYHIN1	protein-coding gene	gene with protein product	149628
HGNC:51820	PYHIN5P	pseudogene	pseudogene	646377
HGNC:30258	PYM1	protein-coding gene	gene with protein product	84305
HGNC:26162	PYROXD1	protein-coding gene	gene with protein product	79912
HGNC:23517	PYROXD2	protein-coding gene	gene with protein product	84795
HGNC:44317	PYURF	protein-coding gene	gene with protein product	100996939
HGNC:9748	PYY	protein-coding gene	gene with protein product	5697
HGNC:9749	PYY2	pseudogene	pseudogene	23615
HGNC:31855	PYY3	pseudogene	pseudogene	644059
HGNC:9750	PZP	protein-coding gene	gene with protein product	5858
HGNC:9751	QARS1	protein-coding gene	gene with protein product	5859
HGNC:9752	QDPR	protein-coding gene	gene with protein product	5860
HGNC:21100	QKI	protein-coding gene	gene with protein product	9444
HGNC:9753	QPCT	protein-coding gene	gene with protein product	25797
HGNC:25952	QPCTL	protein-coding gene	gene with protein product	54814
HGNC:9755	QPRT	protein-coding gene	gene with protein product	23475
HGNC:29982	QRFP	protein-coding gene	gene with protein product	347148
HGNC:15565	QRFPR	protein-coding gene	gene with protein product	84109
HGNC:24713	QRICH1	protein-coding gene	gene with protein product	54870
HGNC:25326	QRICH2	protein-coding gene	gene with protein product	84074
HGNC:21020	QRSL1	protein-coding gene	gene with protein product	55278
HGNC:43667	QRSL1P1	pseudogene	pseudogene	730016
HGNC:43668	QRSL1P2	pseudogene	pseudogene	100422330
HGNC:43669	QRSL1P3	pseudogene	pseudogene	100422374
HGNC:26154	QSER1	protein-coding gene	gene with protein product	79832
HGNC:9756	QSOX1	protein-coding gene	gene with protein product	5768
HGNC:30249	QSOX2	protein-coding gene	gene with protein product	169714
HGNC:23797	QTRT1	protein-coding gene	gene with protein product	81890
HGNC:39179	QTRT1P1	pseudogene	pseudogene	100420656
HGNC:25771	QTRT2	protein-coding gene	gene with protein product	79691
HGNC:27329	R3HCC1	protein-coding gene	gene with protein product	203069
HGNC:23512	R3HCC1L	protein-coding gene	gene with protein product	27291
HGNC:9757	R3HDM1	protein-coding gene	gene with protein product	23518
HGNC:29167	R3HDM2	protein-coding gene	gene with protein product	22864
HGNC:44056	R3HDM2P1	pseudogene	pseudogene	100419742
HGNC:44057	R3HDM2P2	pseudogene	pseudogene	100129694
HGNC:28270	R3HDM4	protein-coding gene	gene with protein product	91300
HGNC:16249	R3HDML	protein-coding gene	gene with protein product	140902
HGNC:9758	RAB1A	protein-coding gene	gene with protein product	5861
HGNC:54644	RAB1AP1	pseudogene	pseudogene	100420571
HGNC:54645	RAB1AP2	pseudogene	pseudogene	643916
HGNC:18370	RAB1B	protein-coding gene	gene with protein product	81876
HGNC:23683	RAB1C	pseudogene	pseudogene	441400
HGNC:9763	RAB2A	protein-coding gene	gene with protein product	5862
HGNC:20246	RAB2B	protein-coding gene	gene with protein product	84932
HGNC:9777	RAB3A	protein-coding gene	gene with protein product	5864
HGNC:9778	RAB3B	protein-coding gene	gene with protein product	5865
HGNC:30269	RAB3C	protein-coding gene	gene with protein product	115827
HGNC:9779	RAB3D	protein-coding gene	gene with protein product	9545
HGNC:17063	RAB3GAP1	protein-coding gene	gene with protein product	22930
HGNC:17168	RAB3GAP2	protein-coding gene	gene with protein product	25782
HGNC:9780	RAB3IL1	protein-coding gene	gene with protein product	5866
HGNC:16508	RAB3IP	protein-coding gene	gene with protein product	117177
HGNC:9781	RAB4A	protein-coding gene	gene with protein product	5867
HGNC:9782	RAB4B	protein-coding gene	gene with protein product	53916
HGNC:44465	RAB4B-EGLN2	other	readthrough	100529264
HGNC:9783	RAB5A	protein-coding gene	gene with protein product	5868
HGNC:9784	RAB5B	protein-coding gene	gene with protein product	5869
HGNC:9785	RAB5C	protein-coding gene	gene with protein product	5878
HGNC:55289	RAB5C-AS1	non-coding RNA	RNA, long non-coding	105371781
HGNC:45104	RAB5CP1	pseudogene	pseudogene	100420734
HGNC:45106	RAB5CP2	pseudogene	pseudogene	133789
HGNC:15870	RAB5IF	protein-coding gene	gene with protein product	55969
HGNC:9786	RAB6A	protein-coding gene	gene with protein product	5870
HGNC:14902	RAB6B	protein-coding gene	gene with protein product	51560
HGNC:16525	RAB6C	protein-coding gene	gene with protein product	84084
HGNC:49278	RAB6C-AS1	non-coding RNA	RNA, long non-coding	100131320
HGNC:30272	RAB6D	protein-coding gene	gene with protein product	150786
HGNC:9788	RAB7A	protein-coding gene	gene with protein product	7879
HGNC:30513	RAB7B	protein-coding gene	gene with protein product	338382
HGNC:7007	RAB8A	protein-coding gene	gene with protein product	4218
HGNC:30273	RAB8B	protein-coding gene	gene with protein product	51762
HGNC:9792	RAB9A	protein-coding gene	gene with protein product	9367
HGNC:38104	RAB9AP1	pseudogene	pseudogene	100287200
HGNC:38106	RAB9AP2	pseudogene	pseudogene	100287542
HGNC:38107	RAB9AP3	pseudogene	pseudogene	100287577
HGNC:38108	RAB9AP4	pseudogene	pseudogene	100288397
HGNC:38109	RAB9AP5	pseudogene	pseudogene	100287234
HGNC:14090	RAB9B	protein-coding gene	gene with protein product	51209
HGNC:9793	RAB9BP1	pseudogene	pseudogene	9366
HGNC:9759	RAB10	protein-coding gene	gene with protein product	10890
HGNC:9760	RAB11A	protein-coding gene	gene with protein product	8766
HGNC:45188	RAB11AP1	pseudogene	pseudogene	100129731
HGNC:45189	RAB11AP2	pseudogene	pseudogene	106480447
HGNC:9761	RAB11B	protein-coding gene	gene with protein product	9230
HGNC:44178	RAB11B-AS1	non-coding RNA	RNA, long non-coding	100507567
HGNC:30265	RAB11FIP1	protein-coding gene	gene with protein product	80223
HGNC:42366	RAB11FIP1P1	pseudogene	pseudogene	646080
HGNC:29152	RAB11FIP2	protein-coding gene	gene with protein product	22841
HGNC:17224	RAB11FIP3	protein-coding gene	gene with protein product	9727
HGNC:30267	RAB11FIP4	protein-coding gene	gene with protein product	84440
HGNC:24845	RAB11FIP5	protein-coding gene	gene with protein product	26056
HGNC:31332	RAB12	protein-coding gene	gene with protein product	201475
HGNC:9762	RAB13	protein-coding gene	gene with protein product	5872
HGNC:16524	RAB14	protein-coding gene	gene with protein product	51552
HGNC:20150	RAB15	protein-coding gene	gene with protein product	376267
HGNC:16523	RAB17	protein-coding gene	gene with protein product	64284
HGNC:14244	RAB18	protein-coding gene	gene with protein product	22931
HGNC:19982	RAB19	protein-coding gene	gene with protein product	401409
HGNC:18260	RAB20	protein-coding gene	gene with protein product	55647
HGNC:18263	RAB21	protein-coding gene	gene with protein product	23011
HGNC:9764	RAB22A	protein-coding gene	gene with protein product	57403
HGNC:14263	RAB23	protein-coding gene	gene with protein product	51715
HGNC:9765	RAB24	protein-coding gene	gene with protein product	53917
HGNC:18238	RAB25	protein-coding gene	gene with protein product	57111
HGNC:14259	RAB26	protein-coding gene	gene with protein product	25837
HGNC:9766	RAB27A	protein-coding gene	gene with protein product	5873
HGNC:9767	RAB27B	protein-coding gene	gene with protein product	5874
HGNC:9768	RAB28	protein-coding gene	gene with protein product	9364
HGNC:50380	RAB28P1	pseudogene	pseudogene	100133203
HGNC:50381	RAB28P2	pseudogene	pseudogene	100129331
HGNC:50382	RAB28P3	pseudogene	pseudogene	100132772
HGNC:51548	RAB28P4	pseudogene	pseudogene	100132871
HGNC:51547	RAB28P5	pseudogene	pseudogene	100128416
HGNC:9789	RAB29	protein-coding gene	gene with protein product	8934
HGNC:9770	RAB30	protein-coding gene	gene with protein product	27314
HGNC:48672	RAB30-DT	non-coding RNA	RNA, long non-coding	100506233
HGNC:9771	RAB31	protein-coding gene	gene with protein product	11031
HGNC:9772	RAB32	protein-coding gene	gene with protein product	10981
HGNC:9773	RAB33A	protein-coding gene	gene with protein product	9363
HGNC:16075	RAB33B	protein-coding gene	gene with protein product	83452
HGNC:55153	RAB33B-AS1	non-coding RNA	RNA, long non-coding	107984036
HGNC:16519	RAB34	protein-coding gene	gene with protein product	83871
HGNC:9774	RAB35	protein-coding gene	gene with protein product	11021
HGNC:9775	RAB36	protein-coding gene	gene with protein product	9609
